ID,Address,Short PC,PC,Price_£,Offer,Period,Status,House Type,Bed,Bath,Recpt,Heating,Windows,Window Type,Garage Description,Garage Size,Garage Type,Driveway,Parking,Garden,Basement,Roofspace,Conservatory,EPC Rating,Rates,Acres,sq ft,Listing Date,Time at this price,Description,URL,Date stamp
348350,"Apt 8 Rosetta Court, 366/388 Ormeau Road, South East Belfast, Belfast",BT7,BT7 3HW,129950,Offers around,,For sale,Apartment,2,,,,,unknown,,,,,Y,,,,,D58/D62,,,,,432,2 Bed Apartment For Sale,http://www.propertypal.com/apt-8-rosetta-court-366388-ormeau-road-south-east-belfast-belfast/348350,20160507
119326,"47 Rugby Avenue, Botanic, Belfast",BT7,BT7 1AA,175000,Guide price,,For sale,Terrace house,5,,1,,ofch/ d/glazed windows,unknown,,,,,,,,,,E39/E42,,,,,196,5 Bed Terrace house For Sale,http://www.propertypal.com/47-rugby-avenue-botanic-belfast/119326,20160507
346177,"589 Ormeau Road, Belfast",BT7,BT7 3JB,134950,Asking price,,For sale,Terrace house,3,,1,oil,,unknown,,,,,,Y,,,,D59/D61,"£1,123.91 pa",,,,719,3 Bed Terrace house For Sale,http://www.propertypal.com/589-ormeau-road-belfast/346177,20160507
344011,"4 North Parade, Ormeau, Belfast",BT7,BT7 2GG,295000,Offers over,,For sale,Semi-detached house,6,2,1,,,unknown,,,,,,Y,,,,,"£1,957.77 pa",,"2,200",,569,6 Bed Semi-detached house For Sale,http://www.propertypal.com/4-north-parade-ormeau-belfast/344011,20160507
343277,"35 Stewart Street, Belfast",BT7,BT7 2BT,102000,Asking price,,For sale,Terrace house,3,1,1,gas,,unknown,,,,,,,,,,C72/C74,£652.59 pa,,,,301,3 Bed Terrace house For Sale,http://www.propertypal.com/35-stewart-street-belfast/343277,20160507
342954,"115 Walmer Street, Ormeau, Belfast",BT7,BT7 3ED,99950,Asking price,,For sale,Terrace house,2,1,2,oil,,unknown,,,,,,,,,,E52/C69,£706.97 pa,,,,297,2 Bed Terrace house For Sale,http://www.propertypal.com/115-walmer-street-ormeau-belfast/342954,20160507
341875,"14 The Stern Building, The Embankment, Belfast",BT7,BT7 3NF,113000,Asking price,,For sale,Apartment,1,1,1,gas,,unknown,,,,,Y,,,,,,,,,,379,1 Bed Apartment For Sale,http://www.propertypal.com/14-the-stern-building-the-embankment-belfast/341875,20160507
339700,"8 South Parade, Belfast",BT7,BT7 2GP,275000,Offers over,,For sale,Town House,4,,,,oil fired central heating/double glazed windows,double,,,,,,Y,,Y,,,"£1,413.95 pa",,,,787,4 Bed Town House For Sale,http://www.propertypal.com/8-south-parade-belfast/339700,20160507
339665,"47 Palestine Street, Belfast",BT7,BT7 1QJ,105000,Offers around,,For sale,Terrace house,4,1,1,gas,,unknown,,,,,,,,,,D68/C75,"£1,015.14 pa",,,,340,4 Bed Terrace house For Sale,http://www.propertypal.com/47-palestine-street-belfast/339665,20160507
339033,"20 Pine Way, Belfast",BT7,BT7 1JF,79000,Offers over,,For sale,Terrace house,2,1,1,gas,,unknown,,,,,Y,,,,,,£507.57 pa,,,,249,2 Bed Terrace house For Sale,http://www.propertypal.com/20-pine-way-belfast/339033,20160507
